track_name,track_id,album_name,album_id,artist_name,artist_id,artist_popularity,track_popularity,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,energy_danceability,acoustic_instrumental_diff,mood_index
Here,2BQDyRZmraBt7PPDaNoans,Kim Boyce,2CtpjgpazBz1iiFIWJzAWD,Kim Boyce,7y1QYW6qS12DPWGmKjPSMk,9.0,10.0,,0.489,0.406,2.0,-9.109,1.0,0.026,0.074,2.2e-06,0.196,0.218,77.237,285520.0,0.19853400000000002,0.0739978,0.312
Blessings,3tr9M1fJP3Zo1g2vQfDDkD,Ahsas,3x0YmCnRIOIjGPt9o103lv,Solace,4Xov9ibFy2h1mYTx8XcLxV,29.0,18.0,,0.857,0.532,5.0,-9.053,1.0,0.0659,0.0297,0.00717,0.103,0.543,120.008,214080.0,0.455924,0.02253,0.5375000000000001
Wish You Were Here - 2016 Remastered,3DDWXHK09mtVlVwmuHe760,Mirage (Deluxe),1dZNgJ3Gh3wp6ohzk29JUG,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,83.0,30.0,1982-06-18,0.464,0.442,5.0,-8.842,1.0,0.0315,0.232,1.21e-05,0.0493,0.365,142.13,291092.0,0.20508800000000002,0.23198790000000002,0.40349999999999997
Frío,1ikOyi5mMqnPlRikXGtmxK,"Wise The Gold Pen Presents: Trap Miami ""Los Eleven""",76F8Wxvvv2cg2GCqQnHbp3,Los Eleven,5TeRqs1qWwhLIti83vRywf,29.0,21.0,2016-11-11,0.743,0.463,11.0,-8.378,1.0,0.159,0.103,0.0,0.314,0.135,124.76,237120.0,0.344009,0.103,0.29900000000000004
Your Love (feat. Néha & Bertrand Lacoste),3mG0g9suL6I9EDE6wBmptO,Your Love (feat. Néha & Bertrand Lacoste),6RQJrf4vNsBHhuCnqKEfJH,Sterkøl,0d5lSp7AtxdIQ9De6xmazL,35.0,37.0,2016-08-09,0.687,0.675,6.0,-6.528,1.0,0.0276,0.0555,0.029,0.225,0.338,120.011,242077.0,0.46372500000000005,0.0265,0.5065000000000001
Malevolent,15rMsXX99jAQzAqVU3TWR8,Malevolent,07GJcnfULNLqmX8WEt28Lu,Jeremy Vancaulart,5ImELkd8OgfpnIKfvCSmX8,29.0,0.0,2016-09-02,0.503,0.942,5.0,-4.163,0.0,0.258,0.0547,0.00921,0.444,0.13,129.918,183000.0,0.47382599999999997,0.04549,0.536
Close to You (Piano Arrangement),7t0aGps7n6jSZLnXWEpl3v,"Piano Covers, Vol. 6",61eCHoTGqZCl1wgmebQhFJ,The Theorist,6N1GBr0koYYU0W59ECgg5u,47.0,3.0,2016-02-19,0.538,0.145,10.0,-14.61,1.0,0.0312,0.991,0.88,0.11,0.113,83.051,212245.0,0.07801,0.11099999999999999,0.129
Here Comes the Rain Again,3NAssDvF8lbZadOeOyLYVW,Undercover,7iq1vJH3Ch9NORI4IfazEU,Jack and White,2U5RgZDZdAR13tX6yivvRy,23.0,2.0,2012-06-05,0.632,0.614,9.0,-5.765,0.0,0.0259,0.263,6.09e-05,0.0777,0.234,125.995,242987.0,0.388048,0.26293910000000004,0.424
Marcie,7Jh31JRtXzVP6CZz775n0y,"Joni Mitchell (AKA ""Song To A Seagull)",6rg3WTvmv68Vd6tgR0yS0E,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,62.0,29.0,1968-03-01,0.518,0.135,7.0,-15.618,1.0,0.0313,0.911,0.000174,0.117,0.154,109.995,275307.0,0.06993,0.910826,0.14450000000000002
Кто хочет стать милиционером?,45vxtVDWVuX89p8xCC1eUC,Повести и рассказы,2omO7OiQpguMYt8LEaGUzd,Вася Обломов,47OKSxHMlKClrmEITfkgDz,37.0,24.0,2015-03-01,0.664,0.723,2.0,-4.4,0.0,0.0534,0.632,0.0,0.164,0.86,89.979,292053.0,0.480072,0.632,0.7915
